[format] $ npm run format

> evolution-hub@0.0.1 format
> prettier --write "src/**/*.{ts,tsx,astro,json,md}" "tests/**/*.{ts,tsx}" "scripts/**/*.{ts,js,mjs}" "*.{json,md,yaml,yml}"

src/components/account/DeleteAccountSection.tsx 97ms (unchanged)
src/components/admin/AdminClient.tsx 5ms (unchanged)
src/components/admin/BulkActions.tsx 11ms (unchanged)
src/components/AosWrapper.astro 89ms (unchanged)
src/components/auth/MagicLinkForm.astro 90ms (unchanged)
src/components/AvatarUploadModal.astro 73ms (unchanged)
src/components/BillingNotice.tsx 14ms (unchanged)
src/components/blog/BlogCTA.astro 59ms (unchanged)
src/components/blog/LeadMagnetCTA.astro 52ms (unchanged)
src/components/blog/NewsletterCTA.astro 52ms (unchanged)
src/components/BlogCard.astro 39ms (unchanged)
src/components/BlogList.astro 16ms (unchanged)
src/components/BlogPost.astro 76ms (unchanged)
src/components/brand/EvolutionHubWordmark.astro 16ms (unchanged)
src/components/brand/EvolutionHubWordmarkChamfered.astro 9ms (unchanged)
src/components/brand/EvolutionHubWordmarkOutlined.astro 21ms (unchanged)
src/components/CategoryFilter.astro 35ms (unchanged)
src/components/comments/CommentErrorBoundary.tsx 12ms (unchanged)
src/components/comments/CommentForm.tsx 23ms (unchanged)
src/components/comments/CommentKeyboardNav.tsx 50ms (unchanged)
src/components/comments/CommentList.astro 3ms (unchanged)
src/components/comments/CommentList.tsx 30ms (unchanged)
src/components/comments/CommentMobile.tsx 30ms (unchanged)
src/components/comments/CommentSection.tsx 15ms (unchanged)
src/components/comments/CommentStats.tsx 5ms (unchanged)
src/components/comments/CommentThreading.tsx 29ms (unchanged)
src/components/dashboard/AccountSettingsSection.astro 47ms (unchanged)
src/components/dashboard/BillingCard.tsx 6ms (unchanged)
src/components/dashboard/CommunicationBillingCard.astro 7ms (unchanged)
src/components/dashboard/NewsletterPreferencesCard.tsx 3ms (unchanged)
src/components/dashboard/ProfileAccountCard.astro 8ms (unchanged)
src/components/dashboard/RecentCommentsCard.tsx 6ms (unchanged)
src/components/dashboard/RecommendationsCard.astro 16ms (unchanged)
src/components/dashboard/StatsCard.astro 6ms (unchanged)
src/components/dashboard/ToolShortcutsCard.astro 9ms (unchanged)
src/components/dashboard/UserProfile.astro 14ms (unchanged)
src/components/DebugPanelIsland.astro 2ms (unchanged)
src/components/ErrorBoundary.astro 10ms (unchanged)
src/components/Fallback.astro 21ms (unchanged)
src/components/Footer.astro 65ms (unchanged)
src/components/forms/LeadMagnetForm.astro 51ms (unchanged)
src/components/Header.astro 103ms (unchanged)
src/components/landing/CardGraph.tsx 31ms (unchanged)
src/components/landing/ConnectionCTA.astro 8ms (unchanged)
src/components/landing/EchoAvatars.tsx 4ms (unchanged)
src/components/landing/EchoBackdrop.tsx 12ms (unchanged)
src/components/landing/FeatureConnections.tsx 10ms (unchanged)
src/components/landing/HeroNebula.tsx 18ms (unchanged)
src/components/landing/HeroStatusLights.tsx 31ms (unchanged)
src/components/landing/HoloFeaturePanel.astro 8ms (unchanged)
src/components/landing/LottieIcon.tsx 4ms (unchanged)
src/components/landing/StarfieldBackdrop.tsx 7ms (unchanged)
src/components/landing/TestimonialCard.astro 13ms (unchanged)
src/components/landing/TestimonialsGrid.astro 4ms (unchanged)
src/components/landing/TestimonialsRotatingGrid.tsx 22ms (unchanged)
src/components/Newsletter.astro 27ms (unchanged)
src/components/notifications/NotificationCenter.tsx 15ms (unchanged)
src/components/notifications/NotificationSettings.tsx 17ms (unchanged)
src/components/Pagination.astro 22ms (unchanged)
src/components/pricing/FeatureComparison.astro 24ms (unchanged)
src/components/pricing/PricingTable.astro 72ms (unchanged)
src/components/projects/ProjectList.tsx 10ms (unchanged)
src/components/projects/ProjectManagement.tsx 3ms (unchanged)
src/components/projects/ProjectModal.tsx 9ms (unchanged)
src/components/scripts/AnalyticsCoordinator.astro 14ms (unchanged)
src/components/scripts/AOSCoordinator.astro 18ms (unchanged)
src/components/scripts/AuthSessionPoller.tsx 3ms (unchanged)
src/components/scripts/AuthStatusNotifier.tsx 9ms (unchanged)
src/components/scripts/DebugInterceptors.tsx 1ms (unchanged)
src/components/scripts/HeaderScroll.astro 13ms (unchanged)
src/components/scripts/MagicLinkFormEnhancer.tsx 8ms (unchanged)
src/components/scripts/ProfileFormEnhancer.tsx 7ms (unchanged)
src/components/scripts/TypewriterComponent.astro 6ms (unchanged)
src/components/scripts/VerifyEmailCoordinator.astro 9ms (unchanged)
src/components/SettingsScript.astro 2ms (unchanged)
src/components/SkipLink.astro 2ms (unchanged)
