[format] $ npm run format

> evolution-hub@0.0.1 format
> prettier --write "src/**/*.{ts,tsx,astro,json,md}" "tests/**/*.{ts,tsx}" "scripts/**/*.{ts,js,mjs}" "*.{json,md,yaml,yml}"

src/assets/brand/colors/colors.json 15ms (unchanged)
src/assets/README.md 186ms (unchanged)
src/components/account/DeleteAccountSection.tsx 49ms (unchanged)
src/components/admin/BulkActions.tsx 13ms (unchanged)
src/components/admin/dashboard/AdminDashboardApp.tsx 8ms (unchanged)
src/components/admin/dashboard/hooks/useAdminAuditLogs.ts 12ms (unchanged)
src/components/admin/dashboard/hooks/useAdminCredits.ts 16ms (unchanged)
src/components/admin/dashboard/hooks/useAdminMetrics.ts 8ms (unchanged)
src/components/admin/dashboard/hooks/useAdminStatus.ts 10ms (unchanged)
src/components/admin/dashboard/hooks/useAdminTelemetry.ts 5ms (unchanged)
src/components/admin/dashboard/hooks/useAdminUserInsights.ts 11ms (unchanged)
src/components/admin/dashboard/hooks/useAdminUserList.ts 23ms (unchanged)
src/components/admin/dashboard/sections/AuditMonitoringSection.tsx 13ms (unchanged)
src/components/admin/dashboard/sections/FinancialFeatureSection.tsx 13ms (unchanged)
src/components/admin/dashboard/sections/KpiOverviewSection.tsx 36ms (unchanged)
src/components/admin/dashboard/sections/UserInsightsSection.tsx 63ms (unchanged)
src/components/AGENTS.md 3ms (unchanged)
src/components/AosWrapper.astro 13ms (unchanged)
src/components/auth/MagicLinkForm.astro 100ms (unchanged)
src/components/AvatarUploadModal.astro 43ms (unchanged)
src/components/BillingNotice.tsx 6ms (unchanged)
src/components/blog/BlogCTA.astro 42ms (unchanged)
src/components/blog/LeadMagnetCTA.astro 64ms (unchanged)
src/components/blog/NewsletterCTA.astro 44ms (unchanged)
src/components/BlogCard.astro 36ms (unchanged)
src/components/BlogList.astro 17ms (unchanged)
src/components/BlogPost.astro 64ms (unchanged)
src/components/brand/EvolutionHubWordmark.astro 9ms (unchanged)
src/components/brand/EvolutionHubWordmarkChamfered.astro 10ms (unchanged)
src/components/brand/EvolutionHubWordmarkOutlined.astro 20ms (unchanged)
src/components/CategoryFilter.astro 27ms (unchanged)
src/components/comments/CommentErrorBoundary.tsx 7ms (unchanged)
src/components/comments/CommentForm.tsx 13ms (unchanged)
src/components/comments/CommentKeyboardNav.tsx 25ms (unchanged)
src/components/comments/CommentList.astro 2ms (unchanged)
src/components/comments/CommentList.tsx 24ms (unchanged)
src/components/comments/CommentMobile.tsx 34ms (unchanged)
src/components/comments/CommentSection.tsx 10ms (unchanged)
src/components/comments/CommentStats.tsx 6ms (unchanged)
src/components/comments/CommentThreading.tsx 24ms (unchanged)
src/components/dashboard/AccountSettingsSection.astro 42ms (unchanged)
src/components/dashboard/BillingCard.tsx 12ms (unchanged)
src/components/dashboard/CommunicationBillingCard.astro 11ms (unchanged)
src/components/dashboard/ConsentPreferencesCard.tsx 16ms (unchanged)
src/components/dashboard/NewsletterPreferencesCard.tsx 5ms (unchanged)
src/components/dashboard/ProfileAccountCard.astro 9ms (unchanged)
src/components/dashboard/RecentCommentsCard.tsx 5ms (unchanged)
src/components/dashboard/RecommendationsCard.astro 16ms
src/components/dashboard/ReferralCard.tsx 9ms (unchanged)
src/components/dashboard/StatsCard.astro 10ms (unchanged)
src/components/dashboard/ToolShortcutsCard.astro 6ms (unchanged)
src/components/dashboard/UserProfile.astro 11ms (unchanged)
src/components/DebugPanelIsland.astro 2ms (unchanged)
src/components/ErrorBoundary.astro 8ms (unchanged)
src/components/Fallback.astro 22ms (unchanged)
src/components/Footer.astro 58ms (unchanged)
src/components/forms/LeadMagnetForm.astro 40ms (unchanged)
src/components/Header.astro 79ms (unchanged)
src/components/landing/CardGraph.tsx 23ms (unchanged)
src/components/landing/ConnectionCTA.astro 4ms (unchanged)
src/components/landing/EchoAvatars.tsx 2ms (unchanged)
src/components/landing/EchoBackdrop.tsx 6ms (unchanged)
src/components/landing/FeatureConnections.tsx 5ms (unchanged)
src/components/landing/HeroNebula.tsx 5ms (unchanged)
src/components/landing/HeroStatusLights.tsx 15ms (unchanged)
src/components/landing/HoloFeaturePanel.astro 5ms (unchanged)
src/components/landing/LottieIcon.tsx 4ms (unchanged)
src/components/landing/StarfieldBackdrop.tsx 6ms (unchanged)
src/components/landing/TestimonialCard.astro 6ms (unchanged)
src/components/landing/TestimonialsGrid.astro 3ms (unchanged)
src/components/landing/TestimonialsRotatingGrid.tsx 10ms (unchanged)
src/components/Newsletter.astro 23ms (unchanged)
src/components/notifications/NotificationCenter.tsx 11ms (unchanged)
